學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0109-1,資訊系 CSIE,F7-070  F731200  [CSIE2000],2  甲乙,講義,資訊安全,3  選修,黃宗立,38/12,[1]2~3 資訊系館 4203[3]2 資訊系館 4203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F731200&class_code=
0109-1,資訊系 CSIE,F710031-Z2  [CSIE],2  乙,講義,體育（三）,0  必修,,0/請參考備註,[3]5~6,Moodle,
0109-1,資訊系 CSIE,F7-079  F720300  [CSIE1006],2  甲乙,講義,資料結構,3  必修,李強,155/25,[4]7~9 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F720300&class_code=
0109-1,資訊系 CSIE,F7-080  F723400  [CSIE2012],2  甲乙,講義,Linux,3  選修,涂嘉恒,17/3,[3]3~4 資訊新館 65203[5]2 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F723400&class_code=
0109-1,資訊系 CSIE,F7-084  F721900  [CSIE2003],2  甲乙,講義,視窗程式設計,3  選修,張瑞紘,99/11,[2]7~9 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F721900&class_code=
0109-1,資訊系 CSIE,F710200-Z5  [CSIE],3  甲,講義,通識課程,2  必修,,0/請參考備2註,[2]5~6,Moodle,
0109-1,資訊系 CSIE,F7-102  F732500-1  [CSIE3009],3  甲,講義,微算機原理與應用（含實驗）,4  必修,朱威達,57/123,[3]2~4 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F732500&class_code=1
0109-1,,F732500-1  [CSIE3009],3  甲  A,實習,,,朱威達,,[4]7~9 資訊新館 65203,,
0109-1,資訊系 CSIE,F7-103  F732500-2  [CSIE3009],3  乙,講義,微算機原理與應用（含實驗）,4  必修,朱威達,66/4,[3]2~4 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F732500&class_code=2
0109-1,,F732500-2  [CSIE3009],3  乙  B,實習,,,朱威達,2,[4]2~4 資訊新館 65304,,
0109-1,資訊系 CSIE,F7-104  F732000  [CSIE4007],3  甲乙,講義,計算理論,3  必修,莊坤達,133/7,[3]6~8 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F732000&class_code=
0109-1,資訊系 CSIE,F7-107  F730210  [CSIE3090],3  甲乙,講義,資訊專題（一）,2  必修,高宏宇,1229/網路選課不開放,未定,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F730210&class_code=
0109-1,資訊系 CSIE,F710200-Z6  [CSIE],3  乙,講義,通識課程,2  必修,,0/請參考備註,[2]5~6,Moodle,
0109-1,資訊系 CSIE,F7-119  F720800  [CSIE3006],3  甲乙,講義,作業系統,3  必修,蕭宏章,1213/9,[1]5~7 資訊系館 4263,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F720800&class_code=
0109-1,資訊系 CSIE,F7-124  F733200  [CSIE3017],3  甲乙,講義,智慧型醫學資訊系統實作,3  選修,盧文祥*梁勝富,33/37,[2]2~4 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F733200&class_code=
0109-1,資訊系 CSIE,F7-125  F721700  [CSIE3004],3  甲乙,講義,無線通訊網路,3  選修,鄭憲宗,920/10,[2]7~9 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F721700&class_code=
0109-1,資訊系 CSIE,F7-126  F722500  [CSIE2004],3  甲乙,講義,多處理機平行程式設計,3  選修,陳奇業,43/17,[5]2~4 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F722500&class_code=
0109-1,資訊系 CSIE,F710200-Z7  [CSIE],4  甲,講義,通識課程,2  必修,,0/請參考備2註,[2]5~6,Moodle,
0109-1,資訊系 CSIE,F7-154  F742900  [CSIE5010],4  甲乙,講義,人工智慧導論,3  選修,朱威達,1062/27,[1]5~7 資訊系館 4264,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F742900&class_code=
0109-1,資訊系 CSIE,F7-155  F743000  [CSIE5009],4  甲乙,講義,影像處理、電腦視覺及深度學習概論,3  選修,連震杰,376/420,[5]2~4 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F743000&class_code=
0109-1,資訊系 CSIE,F7-156  P75I900  [CSIE5007],4  甲乙,講義,物聯網技術之應用及系統開發,3  選修,藍崑展,122/8,[1]6~8 資訊系館 4202,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=P75I900&class_code=
0109-1,資訊系 CSIE,F7-157  P75J100  [CSIE5020],4  甲乙,講義,創意行動網路APPs之系統技術與設計研發,3  選修,黃崇明,26/34,[4]6~8 資訊系館 4264,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=P75J100&class_code=
0109-1,資訊系 CSIE,F7-160  F743200  [CSIE5013],4  甲乙,講義,人工智慧於醫療應用與服務,3  選修,高宏宇,67/225,[2]7~9 資訊系館 4204,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=F743200&class_code=
0109-1,資訊系 CSIE,F710200-Z8  [CSIE],4  乙,講義,通識課程,2  必修,,0/請參考備註,[2]5~6,Moodle,
0109-1,資訊系 CSIE,F7-162  P76H300  [CSIE7061],4  甲乙,講義,機器學習,3  選修,賀保羅,34/26,[4]6~8 資訊新館 65105,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=P76H300&class_code=
0109-2,資訊系 CSIE,F710820-Z1  [CSIE],1  甲,基礎國文,基礎國文（二）,2  必修,,0/請參考2備註,[5]7~8,Moodle,
0109-2,資訊系 CSIE,A119120-Zg  [FLC1001],1  甲,講義,外國語言（二）,2  必修,,0/請參考備註,[5]3~4,Moodle,
0109-2,資訊系 CSIE,F7-006  F715920  [PHYS1063],1  甲乙,講義,普通物理學（二）,3  必修,田興龍,156/213,[1]2~3 理學教學大樓 36173[3]2 理學教學大樓 36173,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F715920&class_code=
0109-2,資訊系 CSIE,F700000-Z1  [CSIE],1  甲,講義,體育（二）,0  必修,,0/請參考備註,[1]7~8,Moodle,
0109-2,資訊系 CSIE,F7-008  F715621  [MATH1062],1  甲乙,講義,微積分（二）,3  必修,高橋亮甫,111/9,[3]3~4 成功校區經緯廳 經緯廳[5]2 成功校區經緯廳 經緯廳,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F715621&class_code=
0109-2,,F715621  [MATH1062],1  甲乙  A,實習,,,高橋亮甫,,[5]1 資訊系館 4201,,
0109-2,,F715621  [MATH1062],1  甲乙  B,實習,,,侯世章,,[5]1 資訊系館 4202,,
0109-2,,F715621  [MATH1062],1  甲乙  C,實習,,,李國明,2,[5]1 資訊系館 4203,,
0109-2,,F715621  [MATH1062],1  甲乙  D,實習,,,章源慶,2,[5]1 資訊系館 4260,,
0109-2,資訊系 CSIE,F7-009  F720100  [CSIE1004],1  甲乙,講義,線性代數,3  必修,王宏鍇,1232/8,[3]6~8 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F720100&class_code=
0109-2,資訊系 CSIE,F7-010  F711120  [CSIE1002],1  甲乙,講義,程式設計（二）,3  必修,李信杰,147/8,[2]2~4 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F711120&class_code=
0109-2,資訊系 CSIE,F710200-Z1  [CSIE],1  甲,講義,通識課程,2  必修,,0/請參考備註,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F7-013  F717920-1  [CSIE0001],1  甲,實習,服務學習（二）,0  必修,張燕光,51/網路選課不開放,[4]N,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F717920&class_code=1
0109-2,資訊系 CSIE,F710820-Z2  [CSIE],1  乙,基礎國文,基礎國文（二）,2  必修,,0/請參考備註,[5]7~8,Moodle,
0109-2,資訊系 CSIE,A119120-Zh  [FLC1001],1  乙,講義,外國語言（二）,2  必修,,0/請參考2備註,[5]3~4,Moodle,
0109-2,資訊系 CSIE,F700000-Z2  [CSIE],1  乙,講義,體育（二）,0  必修,,0/請參考備註,[1]7~8,Moodle,
0109-2,資訊系 CSIE,F710200-Z2  [CSIE],1  乙,講義,通識課程,2  必修,,0/請參考備2註,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F7-030  F717920-2  [CSIE0001],1  乙,實習,服務學習（二）,0  必修,張燕光,52/網路選課不開放,[1]N,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F717920&class_code=2
0109-2,資訊系 CSIE,F710200-Z3  [CSIE],2  甲,講義,通識課程,2  必修,,0/請參考備註,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F7-053  F720600  [CSIE1008],2  甲乙,講義,離散數學,3  必修,謝孫源,1962/24,[4]2~4 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F720600&class_code=
0109-2,資訊系 CSIE,F7-055  F720200  [CSIE2001],2  甲乙,講義,計算機組織,3  必修,林英超,169/11,[1]6~8 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F720200&class_code=
0109-2,資訊系 CSIE,F710200-Z9  [CSIE],2  甲,講義,通識課程,2  必修,,0/依照該類課程科目2序號選課,[4]5~6,Moodle,
0109-2,資訊系 CSIE,F710041-Z1  [CSIE],2  甲,講義,體育（四）,0  必修,,0/2請參考備註,[3]5~6,Moodle,
0109-2,資訊系 CSIE,F7-059  F721300  [CSIE3003],2  甲乙,講義,演算法,3  必修,陳奇業,173/27,[2]2~4 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F721300&class_code=
0109-2,資訊系 CSIE,F710200-Z4  [CSIE],2  乙,講義,通識課程,2  必修,,0/請參考備註,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F710041-Z2  [CSIE],2  乙,講義,體育（四）,0  必修,,20/請參考備註,[3]5~6,Moodle,
0109-2,資訊系 CSIE,F7-074  F723300  [CSIE2010],2  甲乙,講義,基於遊戲的機器學習入門,3  選修,梁勝富,1227/23,[4]7~9 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F723300&class_code=
0109-2,資訊系 CSIE,F710200-Z5  [CSIE],3  甲,講義,通識課程,2  必修,,0/請參考備2註,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F7-104  F730220  [CSIE3092],3  甲乙,講義,資訊專題（二）,2  必修,張燕光,2126/網路選課不開放,未定,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F730220&class_code=
0109-2,資訊系 CSIE,F7-106  F732400  [CSIE4008],3  甲乙,講義,編譯系統,3  必修,涂嘉恒,153/127,[5]2~4 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F732400&class_code=
0109-2,資訊系 CSIE,F7-111  F733400  [CSIE3018],3  甲乙,講義,Linux核心設計,3  選修,黃敬群,39/31,[2]7~9 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F733400&class_code=
0109-2,資訊系 CSIE,F7-112  F733500  [CSIE3019],3  甲乙,講義,即時系統導論,3  選修,蔡佩璇,218/7,[3]5~7 照坤精密儀器大樓 95519,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F733500&class_code=
0109-2,資訊系 CSIE,F710200-Z6  [CSIE],3  乙,講義,通識課程,2  必修,,0/請參考2備註,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F7-120  F731800  [CSIE3008],3  甲乙,講義,競技程式設計,3  選修,謝孫源,821/9,[2]2~4 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F731800&class_code=
0109-2,資訊系 CSIE,F7-121  F722100  [CSIE3005],3  甲乙,講義,電腦通訊網路,3  選修,黃崇明,1126/29,[2]7~9 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F722100&class_code=
0109-2,資訊系 CSIE,F7-123  F740800  [CSIE4014],3  甲乙,講義,醫學資訊與影像系統導論,3  選修,王士豪,51/7,[4]6~8 資訊新館 65104,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F740800&class_code=
0109-2,資訊系 CSIE,F710200-Z7  [CSIE],4  甲,講義,通識課程,2  必修,,0/請2參考備註,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F710200-Z8  [CSIE],4  乙,講義,通識課程,2  必修,,0/2依照該類課程科目序號選課,[2]5~6,Moodle,
0109-2,資訊系 CSIE,F7-160  F743300  [CSIE5014],4  甲乙,講義,基因體資訊學,3  選修,賀保羅,14/41,[3]6~8 資訊系館 4201,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F743300&class_code=
0109-2,資訊系 CSIE,F7-167  F741900  [CSIE5004],4  甲乙,講義,繪圖技術設計與應用,3  選修,李同益,44/16,[1]7 資訊系館 4201[4]7~8 資訊系館 4201,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F741900&class_code=
0109-2,資訊系 CSIE,F7-169  F742600  [CSIE5007],4  甲乙,講義,資料分析與學習基石,3  選修,高宏宇,73/127,[4]2~4 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F742600&class_code=
0109-2,資訊系 CSIE,F7-170  F742700  [CSIE5008],4  甲乙,講義,分散式系統與巨量資料平台,3  選修,蕭宏章,37/18,[1]5~7 資訊新館 65105,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F742700&class_code=
0109-2,資訊系 CSIE,F7-175  F743500  [CSIE4034],4  甲乙,講義,互動數位藝術實作,3  選修,楊中平,3/52,[2]2~4 資訊新館 65105,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F743500&class_code=
0109-2,資訊系 CSIE,F7-177  F733100  [CSIE5005],4  甲乙,講義,從自由軟體到物聯網的實踐,3  選修,藍崑展,6/14,[3]6~8 資訊新館 65104,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F733100&class_code=
0109-2,資訊系 CSIE,F7-178  P75J200  [CSIE5021],4  甲乙,講義,人工智慧在中醫上的應用,3  選修,藍崑展,10/2,[1]6~8 資訊系館 4202,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=P75J200&class_code=
0109-2,資訊系 CSIE,F7-179  P75J000  [CSIE5010],4  甲乙,講義,資料科學與人工智慧競技,3  選修,莊坤達,56/10,[2]2~4 資訊新館 65104,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=P75J000&class_code=
0109-2,資訊系 CSIE,F7-180  F743600  [CSIE5015],4  甲乙,講義,軟體工程,3  選修,郭淑美,37/13,[2]7~9 資訊系館 4201,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=F743600&class_code=
0110-1,資訊系 CSIE,A718310-Zc  [CL1078],1  甲,大學國文,大學國文（一）,2  必修,,20/請參考備註,[5]7~8,Moodle,
0110-1,資訊系 CSIE,A119110-Zf  [FLC6004],1  甲,講義,外國語言（一）,2  必修,,20/請參考備註,[5]3~4,Moodle,
0110-1,資訊系 CSIE,F7-004  A215500-40  [OPE0300],1  甲,講義,體育（一）,0  必修,徐珊惠,58/941,[1]7~8 成大綜合體育館 體育館羽球場,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=A215500&class_code=40
0110-1,資訊系 CSIE,F7-006  F715910  [PHYS1061],1  甲乙,講義,普通物理學（一）,3  必修,楊展其,188/33,[1]2~3 理學教學大樓 36173[3]2 理學教學大樓 36173,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F715910&class_code=
0110-1,資訊系 CSIE,F7-008  F720401-1  [CSIE1003],1  甲,講義,數位電路導論,3  必修,蘇文鈺,2106/24,[3]6~8 資訊系館 4204,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F720401&class_code=1
0110-1,資訊系 CSIE,F7-009  F720401-2  [CSIE1003],1  乙,講義,數位電路導論,3  必修,蘇文鈺,55/225,[4]6~8 資訊系館 4263,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F720401&class_code=2
0110-1,資訊系 CSIE,F7-010  F711110  [CSIE1001],1  甲乙,講義,程式設計（一）,3  必修,蔡孟勳,2529/91,[4]2~4 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F711110&class_code=
0110-1,資訊系 CSIE,F710200-Z1  [CSIE],1  甲,講義,通識課程,2  必修,,0/請參考備註,[2]5~6,Moodle,
0110-1,資訊系 CSIE,F7-012  F715611  [MATH1061],1  甲乙,講義,微積分（一）,3  必修,吳恭儉,130/50,[3]3~4 成功校區經緯廳 經緯廳[5]2 成功校區經緯廳 經緯廳,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F715611&class_code=
0110-1,,F715611  [MATH1061],1  甲乙  A,實習,,,吳恭儉,2,[5]1 資訊系館 4201,,
0110-1,,F715611  [MATH1061],1  甲乙  B,實習,,,蕭仁傑,,[5]1 資訊系館 4202,,
0110-1,,F715611  [MATH1061],1  甲乙  C,實習,,,賴青瑞,,[5]1 資訊系館 4203,,
0110-1,,F715611  [MATH1061],1  甲乙  D,實習,,,劉之中,2,[5]1 資訊系館 4204,,
0110-1,資訊系 CSIE,F7-013  F717910-1  [CSIE0000],1  甲,實習,服務學習（一）,0  必修,張燕光,61/網路選課不開放,[1]N,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F717910&class_code=1
0110-1,資訊系 CSIE,A718310-Zd  [CL1078],1  乙,大學國文,大學國文（一）,2  必修,,02/請參考備註,[5]7~8,Moodle,
0110-1,資訊系 CSIE,A119110-Zg  [FLC6004],1  乙,講義,外國語言（一）,2  必修,,0/請2參考備註,[5]3~4,Moodle,
0110-1,資訊系 CSIE,F7-024  A215500-41  [OPE0300],1  乙,講義,體育（一）,0  必修,馬上鈞,58/42,[1]7~8 健休視聽室 健休視聽室,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=A215500&class_code=41
0110-1,資訊系 CSIE,F710200-Z2  [CSIE],1  乙,講義,通識課程,2  必修,,0/2請參考備註,[2]5~6,Moodle,
0110-1,資訊系 CSIE,F7-029  F717910-2  [CSIE0000],1  乙,實習,服務學習（一）,0  必修,張燕光,58/網路選課不開放,[4]N,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F717910&class_code=2
0110-1,資訊系 CSIE,F710200-Z3  [CSIE],2  甲,講義,通識課程,2  必修,,0/2請參考備註,[2]5~6,Moodle,
0110-1,資訊系 CSIE,F710200-Z9  [CSIE],2  甲,講義,通識課程,2  必修,,0/請參考2備註,[4]5~6,Moodle,
0110-1,資訊系 CSIE,F7-054  F720900  [CSIE1007],2  甲乙,講義,數位系統導論,3  必修,陳培殷,165/3,[2]2~4 化工系館 華立廳,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F720900&class_code=
0110-1,資訊系 CSIE,F7-055  F721000-1  [CSIE1070],2  甲,實習,數位系統實驗,1  必修,涂嘉恒*陳培殷*,58/127,[3]7~9 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F721000&class_code=1
0110-1,資訊系 CSIE,F7-056  F721000-2  [CSIE1070],2  乙,實習,數位系統實驗,1  必修,涂嘉恒*陳培殷*,74/3,[4]2~4 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F721000&class_code=2
0110-1,資訊系 CSIE,F7-057  F723600  [CSIE1010],2  甲乙,講義,工程數學,3  選修,蘇銓清,63/47,[1]6~8 資訊系館 4263,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F723600&class_code=
0110-1,資訊系 CSIE,F710031-Z1  [CSIE],2  甲,講義,體育（三）,0  必修,,0/請參考備註,[3]5~6,Moodle,
0110-1,資訊系 CSIE,F7-061  F730500  [CSIE0090],2  甲乙,講義,資訊工程倫理與生涯規劃,1  選修,張燕光,1247/3,[5]3 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F730500&class_code=
0110-1,資訊系 CSIE,F710200-Z4  [CSIE],2  乙,講義,通識課程,2  必修,,0/請參考2備註,[2]5~6,Moodle,
0110-1,資訊系 CSIE,F710200-ZA  [CSIE],2  乙,講義,通識課程,2  必修,,0/請參考備註,[4]5~6,Moodle,
0110-1,資訊系 CSIE,F7-070  F731200  [CSIE2000],2  甲乙,講義,資訊安全,3  選修,黃宗立,33/2額滿,[1]2~3 資訊系館 4202[3]2 資訊系館 4202,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F731200&class_code=
0110-1,資訊系 CSIE,F710031-Z2  [CSIE],2  乙,講義,體育（三）,0  必修,,0/請參考2備註,[3]5~6,Moodle,
0110-1,資訊系 CSIE,F7-079  F720300-1  [CSIE1006],2  甲,講義,資料結構,3  必修,蕭宏章,65/58,[4]7~9 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F720300&class_code=1
0110-1,資訊系 CSIE,F7-080  F723400  [CSIE2012],2  甲乙,講義,Linux,3  選修,涂嘉恒,61/額滿,[3]3~4 資訊新館 65203[5]2 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F723400&class_code=
0110-1,資訊系 CSIE,F7-081  F720300-2  [CSIE1006],2  乙,講義,資料結構,3  必修,曾繁勛,100/11,[4]7~9 資訊系館 4204,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F720300&class_code=2
0110-1,資訊系 CSIE,F7-084  F721900  [CSIE2003],2  甲乙,講義,視窗程式設計,3  選修,張瑞紘,125/23,[2]7~9 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F721900&class_code=
0110-1,資訊系 CSIE,F710200-Z5  [CSIE],3  甲,講義,通識課程,2  必修,,20/請參考備註,[2]5~6,Moodle,
0110-1,資訊系 CSIE,F7-102  F732500-1  [CSIE3009],3  甲,講義,微算機原理與應用（含實驗）,4  必修,何建忠,56/24,[3]2~4 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F732500&class_code=1
0110-1,,F732500-1  [CSIE3009],3  甲  A,實習,,,何建忠,,[4]7~9 資訊新館 65203,,
0110-1,資訊系 CSIE,F7-103  F732500-2  [CSIE3009],3  乙,講義,微算機原理與應用（含實驗）,4  必修,何建忠,53/27,[3]2~4 資訊新館 65304,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F732500&class_code=2
0110-1,,F732500-2  [CSIE3009],3  乙  B,實習,,,何建忠,2,[4]2~4 資訊新館 65304,,
0110-1,資訊系 CSIE,F7-104  F732000  [CSIE4007],3  甲乙,講義,計算理論,3  必修,莊坤達,143/1,[3]6~8 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F732000&class_code=
0110-1,資訊系 CSIE,F7-107  F730210  [CSIE3090],3  甲乙,講義,資訊專題（一）,2  必修,張燕光,1218/網路選課不開放,未定,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F730210&class_code=
0110-1,資訊系 CSIE,F710200-Z6  [CSIE],3  乙,講義,通識課程,2  必修,,0/請參考備註,[2]5~6,Moodle,
0110-1,資訊系 CSIE,F7-119  F720800  [CSIE3006],3  甲乙,講義,作業系統,3  必修,張大緯,2140/10,[1]5~7 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F720800&class_code=
0110-1,資訊系 CSIE,F7-124  F733200  [CSIE3017],3  甲乙,講義,智慧型醫學資訊系統實作,3  選修,盧文祥,30/40,[2]2~4 資訊新館 65203,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F733200&class_code=
0110-1,資訊系 CSIE,F7-125  F721700  [CSIE3004],3  甲乙,講義,無線通訊網路,3  選修,鄭憲宗,972/4,[2]7~9 資訊新館 65405,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=F721700&class_code=
