學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0109-2,統計系 STAT,H2-157  H430301  [BA2000],4,講義,商事法,3  選修,林佑鴻,055/65,[3]6~8 企管系館 62121,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H430301&class_code=
0110-1,統計系 STAT,A718310-Zh  [CL1078],1,大學國文,大學國文（一）,2  必修,,0/請參考備註,[1]7~8,Moodle,
0110-1,統計系 STAT,A119110-Zk  [FLC6004],1,講義,外國語言（一）,2  必修,,0/請參考備註,[2]5~6,Moodle,
0110-1,統計系 STAT,H2-005  H211610  [STAT1007],1,講義,統計學（一）,3  必修,溫敏杰,107/3,[1]2~3 統計系館 62223[3]2 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H211610&class_code=
0110-1,統計系 STAT,H2-009  H210810  [STAT1003],1,講義,微積分（一）,3  必修,林良靖,60/10,[1]5~6 統計系館 62223[3]5 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H210810&class_code=
0110-1,統計系 STAT,H2-010  H210400  [STAT1011],1,講義,線性代數,3  必修,陳瑞彬,79/01,[2]7 統計系館 62223[4]3~4 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H210400&class_code=
0110-1,統計系 STAT,H2-017  H211210  [STAT1005],1,講義,經濟學（一）,3  必修,伍弘歷,790/3,[4]5~7 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H211210&class_code=
0110-1,統計系 STAT,H2-019  H217910  [STAT0011],1,實習,服務學習（一）,0  必修,許志仲,56/25,[5]N 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H217910&class_code=
0110-1,統計系 STAT,H200000-Z1  [STAT],1,講義,通識課程,2  必修,,0/請參考備0註,[5]1~2,Moodle,
0110-1,統計系 STAT,H2-022  A215500-45  [OPE0300],1,講義,體育（一）,0  必修,莊博堯,53/47,[5]7~8 中正堂 中正堂視聽室,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=A215500&class_code=45
